ts_ms,level,repeat,mem_used_mb,mem_total_mb,load1,proc_count,swap_used_mb,booted
1786937742874,1,1,4368,7168,24.09,499,0.00,0
1786937745636,1,1,4511,7168,24.48,506,0.00,1
1786937791124,1,1,5066,7168,132.16,639,0.00,1
1786937822058,1,1,5362,7168,256.81,690,0.00,1
1786937828966,1,1,5315,7168,274.05,689,0.00,1
1786937831527,1,1,5414,7168,289.74,689,0.00,1
1786937834389,1,1,5427,7168,289.74,689,0.00,1
1786937837187,1,1,5439,7168,309.94,682,0.00,1
1786937839961,1,1,5447,7168,309.94,690,0.00,1
1786937842543,1,1,5446,7168,329.24,690,0.00,1
1786937845308,1,1,5445,7168,329.24,688,0.00,1
1786937847954,1,1,5458,7168,345.72,697,0.00,1
1786937850498,1,1,5438,7168,360.32,692,0.00,1
1786937853486,1,1,5458,7168,360.32,698,0.00,1
1786937856201,1,1,5460,7168,373.90,699,0.00,1
1786937858623,1,1,5421,7168,373.90,684,0.00,1
1786937861186,1,1,5463,7168,385.76,691,0.00,1
1786937863741,1,1,5443,7168,385.76,687,0.00,1
1786937866203,1,1,5415,7168,397.39,685,0.00,1
1786937868640,1,1,5424,7168,397.39,682,0.00,1
1786937871387,1,1,5456,7168,404.09,694,0.00,1
1786937873940,1,1,5444,7168,404.09,687,0.00,1
1786937876445,1,1,5416,7168,398.31,684,0.00,1
1786937879069,1,1,5437,7168,398.31,688,0.00,1
1786937881709,1,1,5454,7168,394.04,694,0.00,1
1786937884400,1,1,5451,7168,394.04,694,0.00,1
1786937887080,1,1,5437,7168,390.68,695,0.00,1
1786937889670,1,1,5432,7168,390.68,687,0.00,1
1786937892386,1,1,5467,7168,381.01,694,0.00,1
1786937895182,1,1,5456,7168,381.01,693,0.00,1
1786937898189,1,1,5462,7168,363.79,699,0.00,1
1786937901577,1,1,5477,7168,353.88,696,0.00,1
1786937904706,1,1,5472,7168,353.88,696,0.00,1
1786937907880,1,1,5465,7168,337.31,699,0.00,1
1786937911546,1,1,5468,7168,326.24,701,0.00,1
1786937914939,1,1,5483,7168,326.24,695,0.00,1
1786937917895,1,1,5499,7168,317.25,707,0.00,1
1786937920656,1,1,5495,7168,309.46,706,0.00,1
1786937923854,1,1,5492,7168,309.46,706,0.00,1
1786937926780,1,1,5488,7168,302.94,707,0.00,1
1786937930106,1,1,5494,7168,302.94,714,0.00,1
1786937932937,1,1,5490,7168,297.50,709,0.00,1
1786937936343,1,1,5448,7168,288.89,707,0.00,1
1786937939026,1,1,5493,7168,288.89,705,0.00,1
1786937941869,1,1,5495,7168,279.69,723,0.00,1
1786937944551,1,1,5525,7168,279.69,731,0.00,1
1786937947255,1,1,5509,7168,271.63,732,0.00,1
1786937950004,1,1,5536,7168,271.63,737,0.00,1
1786937952741,1,1,5523,7168,260.37,733,0.00,1
1786937955458,1,1,5535,7168,260.37,736,0.00,1
1786937958022,1,1,5531,7168,252.25,737,0.00,1
