ts_ms,level,repeat,mem_used_mb,mem_total_mb,load1,proc_count,swap_used_mb,booted
1786829130269,1,1,8872,32768,1.93,334,0.00,0
1786829135540,1,1,11022,32768,5.70,463,0.00,1
1786829140871,1,1,11680,32768,10.37,484,0.00,1
1786829146380,1,1,12463,32768,18.50,530,0.00,1
1786829154092,1,1,9288,32768,28.07,343,0.00,0
1786829155139,1,2,8963,32768,28.07,331,0.00,0
1786829160424,1,2,11085,32768,29.66,459,0.00,1
1786829165869,1,2,11599,32768,30.73,477,0.00,1
1786829171347,1,2,12524,32768,39.98,516,0.00,1
1786829178923,1,2,9141,32768,48.15,329,0.00,0
1786829179815,2,1,8829,32768,48.15,318,0.00,0
1786829185735,2,1,11931,32768,61.92,533,0.00,2
1786829196363,2,1,13734,32768,83.36,605,0.00,2
1786829202077,2,1,14214,32768,104.31,676,0.00,2
1786829211076,2,1,15604,32768,177.38,758,0.00,2
1786829226753,2,1,17572,32768,275.11,848,0.00,2
1786829235520,2,1,8748,32768,314.02,332,0.00,0
1786829237533,2,2,8380,32768,288.95,317,0.00,0
1786829243324,2,2,11062,32768,280.87,509,0.00,2
1786829253668,2,2,13166,32768,270.88,604,0.00,2
1786829259473,2,2,13530,32768,252.63,651,0.00,2
1786829266715,2,2,14674,32768,295.52,725,0.00,2
1786829277144,2,2,16916,32768,353.78,796,0.00,2
1786829291537,2,2,13528,32768,390.43,595,0.00,1
1786829295746,4,1,8394,32768,390.43,318,0.00,0
1786829301854,4,1,11191,32768,344.72,513,0.00,4
1786829319537,4,1,15889,32768,409.29,834,0.00,4
1786829326691,4,1,15688,32768,421.80,844,0.00,4
1786829335188,4,1,16979,32768,461.86,935,0.00,4
1786829342402,4,1,17736,32768,498.55,986,0.00,4
1786829351473,4,1,17990,32768,517.66,1021,0.00,4
1786829357526,4,1,18037,32768,496.47,1034,0.00,4
1786829363954,4,1,18196,32768,487.38,1066,0.00,4
1786829374438,4,1,19470,32768,513.44,1140,0.00,4
1786829389691,4,1,18582,32768,621.46,1182,0.00,4
1786829397831,4,1,18721,32768,683.84,1202,0.00,4
1786829404288,4,1,19302,32768,717.09,1239,0.00,4
1786829419571,4,1,19159,32768,820.13,1276,0.00,4
1786829427225,4,1,19151,32768,834.07,1283,0.00,4
1786829434403,4,1,18969,32768,823.74,1288,0.00,4
1786829442554,4,1,19053,32768,801.43,1307,0.00,4
1786829454427,4,1,20293,32768,797.75,1363,0.00,4
