ts_ms,level,repeat,mem_used_mb,mem_total_mb,load1,proc_count,swap_used_mb,booted
1786853025847,1,1,25678,32768,383.55,4601,33003.88,23
1786853033198,1,1,26704,32768,417.30,4726,32978.50,24
1786853042217,1,1,29987,32768,579.56,4750,33449.88,24
1786853050195,1,1,26820,32768,568.28,4733,33438.88,24
1786853055974,1,1,26769,32768,591.16,4725,33411.75,24
1786853075080,1,1,26617,32768,780.38,4693,33383.12,24
1786853081598,1,1,26573,32768,819.75,4691,33377.19,24
1786853088511,1,1,26530,32768,856.60,4697,33360.19,24
1786853098751,1,1,24777,32768,952.17,4664,33320.12,24
1786853107381,1,1,26603,32768,892.65,4686,33587.88,24
1786853113816,1,1,26536,32768,832.46,4691,33565.19,24
1786853120893,1,1,26443,32768,737.42,4642,33653.50,24
1786853293706,1,1,26221,32768,315.67,4610,33744.62,24
1786853314093,1,1,26163,32768,372.04,4631,33727.25,24
1786853322938,1,1,25994,32768,424.95,4601,33700.00,24
1786853329669,1,1,27138,32768,465.91,4622,33654.38,24
1786853337066,1,1,25853,32768,465.20,4630,33644.12,24
1786853343581,1,1,26314,32768,454.61,4627,33797.44,24
1786853350613,1,1,26327,32768,470.32,4633,33757.19,24
1786853373019,1,1,26290,32768,457.78,4621,33724.50,24
1786853381953,1,1,26210,32768,438.40,4648,33721.44,24
1786853388621,1,1,26166,32768,424.11,4651,33705.06,24
1786853403925,1,1,26556,32768,371.70,4636,33821.62,24
1786853418568,1,1,26268,32768,335.17,4627,33775.38,24
1786853431276,1,1,26149,32768,326.74,4615,33765.56,24
1786853448515,1,1,26029,32768,322.54,4609,33715.25,24
1786853455219,1,1,26008,32768,386.99,4599,33674.38,24
1786853480431,1,1,26225,32768,397.91,4592,33740.00,24
1786853487090,1,1,26138,32768,380.62,4564,33726.69,24
1786853494020,1,1,26158,32768,380.81,4568,33700.06,24
1786853524470,1,1,26391,32768,316.83,4552,33814.88,24
1786853532463,1,1,26328,32768,317.64,4569,33793.81,24
1786853538773,1,1,26292,32768,330.24,4604,33786.88,24
1786853545395,1,1,26305,32768,294.77,4616,33730.00,24
1786853595092,1,1,26449,32768,324.62,4627,33883.56,24
1786853602264,1,1,26365,32768,343.63,4628,33867.00,24
1786853608903,1,1,26358,32768,339.01,4630,33851.12,24
1786853615635,1,1,26291,32768,318.79,4602,33844.56,24
1786853622382,1,1,26206,32768,322.41,4582,33839.44,24
1786853629345,1,1,26195,32768,317.09,4582,33827.25,24
1786853637001,1,1,26180,32768,342.27,4580,33821.06,24
1786853643859,1,1,26385,32768,337.61,4584,33994.62,24
1786853651150,1,1,26899,32768,312.98,4556,33976.19,24
1786853659302,1,1,26442,32768,332.92,4559,33944.75,24
1786853665749,1,1,25864,32768,363.56,4558,33941.06,24
1786853672648,1,1,25842,32768,391.62,4579,33898.81,24
1786853679559,1,1,25830,32768,410.55,4559,33913.69,24
1786853743659,1,1,26171,32768,292.99,4595,33892.25,24
1786853752265,1,1,26216,32768,277.14,4575,33869.38,24
1786853758922,1,1,24773,32768,264.40,4609,33956.88,24
1786853767909,1,1,26558,32768,243.46,4572,33949.50,24
1786853774414,1,1,26364,32768,261.84,4567,33567.00,24
1786853781379,1,1,26395,32768,237.12,4562,32285.69,24
1786853788784,1,1,26463,32768,226.86,4583,30970.94,24
1786853795282,1,1,26494,32768,208.44,4584,29937.00,24
1786853801389,1,1,26730,32768,197.75,4580,28896.69,24
1786853808035,1,1,26598,32768,197.93,4552,26210.19,24
1786853829014,1,1,26899,32768,246.97,4557,25645.56,24
1786853835352,1,1,26847,32768,348.40,4571,25619.06,24
1786853842571,1,1,26806,32768,443.18,4555,25606.44,24
1786853849497,1,1,26753,32768,462.23,4573,25595.31,24
1786853856164,1,1,26729,32768,442.59,4544,25554.31,24
1786853863020,1,1,26699,32768,424.28,4548,25538.56,24
1786853869716,1,1,26701,32768,403.19,4549,25523.06,24
1786853888803,1,1,26968,32768,383.94,4579,25900.06,24
1786853895461,1,1,26907,32768,326.24,4574,25878.44,24
1786853903074,1,1,26831,32768,327.10,4551,25862.62,24
1786853909242,1,1,26827,32768,356.40,4577,25859.31,24
1786853915569,1,1,26839,32768,385.59,4579,25839.38,24
1786853950889,1,1,25976,32768,321.12,4562,25766.88,24
1786853957488,1,1,29197,32768,319.59,4563,26186.56,24
1786853964249,1,1,26798,32768,328.19,4583,26177.38,24
1786853975847,1,1,26566,32768,352.25,4551,26139.06,24
1786853983066,1,1,26414,32768,361.84,4556,26129.44,24
1786853990101,1,1,26367,32768,357.46,4567,26120.94,24
1786853997086,1,1,26358,32768,349.49,4541,26110.75,24
1786854002856,1,1,26307,32768,329.68,4535,26102.56,24
1786854008683,1,1,26757,32768,333.71,4515,26377.56,24
1786854029086,1,1,26481,32768,310.41,4490,26364.62,24
1786854045583,1,1,26337,32768,253.70,4478,26354.44,24
1786854052070,1,1,26308,32768,241.71,4471,26337.38,24
1786854060897,1,1,30093,32768,256.20,4498,26592.81,24
1786854070419,1,1,26328,32768,287.30,4468,26580.62,24
1786854087538,1,1,26238,32768,277.29,4472,26556.69,24
1786854094921,1,1,26190,32768,275.01,4476,26531.69,24
1786854109722,1,1,26165,32768,307.55,4489,26496.62,24
1786854122943,1,1,26939,32768,311.25,4514,26676.81,24
1786854155853,1,1,26244,32768,347.46,4490,26592.56,24
1786854170643,1,1,26183,32768,321.10,4490,26571.06,24
1786854177920,1,1,24526,32768,305.79,4487,26560.69,24
1786854184841,1,1,26303,32768,316.98,4502,26779.62,24
1786854203715,1,1,26196,32768,285.75,4492,26713.00,24
1786854226581,1,1,26131,32768,241.37,4495,26682.25,24
1786854233992,1,1,26116,32768,250.39,4495,26671.94,24
1786854241477,1,1,28584,32768,238.51,4470,26773.06,24
1786854248105,1,1,26337,32768,247.60,4471,26737.75,24
1786854254666,1,1,26362,32768,246.23,4499,26703.31,24
1786854262459,1,1,26351,32768,250.93,4478,26687.12,24
1786854268944,1,1,26362,32768,254.86,4504,26678.06,24
1786854275714,1,1,26294,32768,251.18,4483,26654.44,24
1786854283549,1,1,26295,32768,265.10,4484,26631.94,24
1786854290380,1,1,26291,32768,261.41,4511,26610.88,24
1786854296982,1,1,26199,32768,265.06,4511,26588.62,24
1786854304862,1,1,26446,32768,279.45,4495,26750.44,24
1786854311491,1,1,26755,32768,281.18,4494,26706.19,24
1786854319187,1,1,26122,32768,282.84,4465,26572.44,24
1786854345854,1,1,25950,32768,233.44,4463,26559.56,24
1786854352185,1,1,26093,32768,232.12,4478,26548.19,24
1786854359007,1,1,25793,32768,240.52,4451,26545.81,24
1786854364975,1,1,26376,32768,228.87,4448,26665.38,24
1786854370961,1,1,26319,32768,228.16,4441,26650.50,24
1786854379421,1,1,26295,32768,222.38,4454,26628.12,24
1786854412995,1,1,26221,32768,180.42,4440,26565.12,24
1786854419712,1,1,24093,32768,191.49,4437,26714.00,24
1786854427782,1,1,26557,32768,190.25,4447,26750.94,24
1786854434238,1,1,26185,32768,202.48,4480,26730.06,24
1786854441680,1,1,26167,32768,240.29,4492,26708.50,24
1786854474078,1,1,26120,32768,255.61,4509,26656.06,24
1786854481373,1,1,29554,32768,262.51,4486,26897.69,24
1786854488064,1,1,26359,32768,268.31,4503,26888.81,24
1786854494448,1,1,26300,32768,283.90,4473,26879.00,24
1786854500992,1,1,26273,32768,289.79,4477,26860.69,24
1786854508314,1,1,26241,32768,288.85,4486,26853.00,24
1786854515570,1,1,26199,32768,271.97,4453,26844.56,24
1786854522761,1,1,26177,32768,271.97,4448,26833.19,24
1786854529505,1,1,26324,32768,260.92,4447,26812.19,24
1786854536269,1,1,26148,32768,259.90,4441,26795.38,24
1786854543238,1,1,26289,32768,249.10,4444,27011.38,24
1786854549803,1,1,26253,32768,229.79,4462,27001.94,24
1786854556702,1,1,26215,32768,220.92,4434,26995.50,24
1786854563507,1,1,26186,32768,219.40,4430,26987.94,24
1786854570355,1,1,26166,32768,214.02,4423,26982.81,24
1786854577581,1,1,26113,32768,234.04,4420,26972.62,24
1786854584001,1,1,26100,32768,231.39,4424,26962.50,24
1786854590358,1,1,26098,32768,217.03,4424,26955.81,24
1786854597017,1,1,26143,32768,210.86,4436,26945.44,24
1786854603341,1,1,26217,32768,204.23,4437,27101.88,24
1786854609229,1,1,26177,32768,201.49,4440,27091.50,24
1786854615455,1,1,26200,32768,225.05,4453,27070.75,24
1786854622010,1,1,26502,32768,222.25,4456,27061.44,24
1786854628326,1,1,26140,32768,230.47,4475,27044.56,24
1786854647661,1,1,25993,32768,211.33,4483,27022.81,24
1786854654191,1,1,25971,32768,204.18,4513,27002.19,24
1786854661531,1,1,28449,32768,203.70,4486,27182.50,24
1786854669187,1,1,26493,32768,202.36,4492,27161.06,24
1786854676168,1,1,26424,32768,199.65,4487,27153.06,24
1786854682541,1,1,26409,32768,195.19,4491,27147.56,24
1786854689286,1,1,26365,32768,207.19,4487,27084.56,24
1786854696432,1,1,26385,32768,193.00,4526,27027.69,24
1786854723960,1,1,26528,32768,261.06,4521,27150.56,24
1786854747878,1,1,26755,32768,509.83,4574,26911.50,24
1786854777425,1,1,27104,32768,950.93,4670,26852.81,24
1786854786643,1,1,27332,32768,957.32,4675,27755.62,24
1786854866017,1,1,27440,32768,725.09,4707,28048.75,24
1786854884215,1,1,26756,32768,745.07,4644,28286.25,24
1786854974282,1,1,26728,32768,299.85,4664,28523.56,24
1786854983478,1,1,26806,32768,273.70,4643,28508.19,24
1786854989926,1,1,26448,32768,267.44,4646,28504.06,24
1786854998425,1,1,26437,32768,265.09,4646,28500.38,24
1786855008997,1,1,26355,32768,284.31,4682,28480.19,24
1786855028286,1,1,26607,32768,315.37,4653,28790.62,24
1786855034704,1,1,26478,32768,331.69,4674,28770.62,24
1786855041565,1,1,26423,32768,328.03,4648,28750.06,24
1786855047685,1,1,26361,32768,357.81,4664,28745.38,24
1786855054092,1,1,26300,32768,368.56,4677,28733.81,24
1786855060455,1,1,26268,32768,357.00,4631,28801.56,24
1786855100066,1,1,26270,32768,360.44,4616,28760.12,24
1786855110541,1,1,26212,32768,339.79,4625,28738.62,24
1786855132577,1,1,26139,32768,299.13,4629,28729.88,24
1786855140581,1,1,25182,32768,289.43,4608,28717.31,24
1786855150695,1,1,25076,32768,279.00,4606,28703.56,24
1786855156260,1,1,28604,32768,290.61,4604,28884.19,24
1786855162368,1,1,26727,32768,275.59,4612,28853.00,24
1786855168077,1,1,24241,32768,320.22,4324,28825.38,23
1786855173691,1,1,24328,32768,348.15,4319,28823.50,23
1786855175753,1,2,24279,32768,365.84,4309,28820.44,23
1786855181303,1,2,24344,32768,388.51,4315,28817.62,23
1786855186933,1,2,24554,32768,424.83,4316,28812.06,24
1786855203957,1,2,25690,32768,686.45,4488,28888.50,24
1786855240296,1,2,25691,32768,330.00,4488,28883.25,24
1786855248101,1,2,25793,32768,457.48,4489,28879.06,24
1786855258356,1,2,24286,32768,682.16,4487,28861.06,24
1786855264888,1,2,26006,32768,849.92,4509,28896.06,24
1786855274857,1,2,26006,32768,931.74,4488,28883.06,24
1786855281010,1,2,25898,32768,975.88,4513,28873.88,24
1786855287043,1,2,26001,32768,1010.40,4522,28870.19,24
1786855297921,1,2,26228,32768,358.75,4554,28865.62,24
1786855315391,1,2,22469,32768,747.49,4332,28860.94,23
1786855316085,2,1,22303,32768,747.49,4319,28860.19,23
1786855322520,2,1,25221,32768,834.17,4432,28857.56,24
1786855329074,2,1,25184,32768,889.97,4439,28856.75,24
1786855334935,2,1,25198,32768,999.40,4450,28853.69,24
1786855340653,2,1,25209,32768,21.97,4450,28849.94,24
1786855347393,2,1,25525,32768,149.14,4483,28846.38,25
1786855377157,2,1,25779,32768,100.38,4640,29267.88,25
1786855416486,2,1,27160,32768,21.24,4635,29254.25,25
1786855422533,2,1,26398,32768,214.61,4633,29252.31,25
1786855428809,2,1,26317,32768,393.46,4638,29247.50,25
1786855434686,2,1,26261,32768,711.34,4635,29245.88,25
1786855441775,2,1,28935,32768,836.39,4646,29524.25,25
1786855448568,2,1,26416,32768,941.99,4635,29523.06,25
1786855454427,2,1,26363,32768,30.10,4632,29521.56,25
1786855460333,2,1,26329,32768,387.89,4626,29519.19,25
1786855466501,2,1,26272,32768,539.08,4620,29516.62,25
1786855472373,2,1,26249,32768,683.94,4614,29515.38,25
1786855478396,2,1,26212,32768,816.95,4609,29503.44,25
1786855484422,2,1,26185,32768,935.95,4609,29488.38,25
1786855490511,2,1,26167,32768,207.71,4608,29478.06,25
1786855496316,2,1,26152,32768,379.58,4608,29477.12,25
1786855502889,2,1,26407,32768,539.69,4613,29594.31,25
1786855510083,2,1,26356,32768,828.65,4636,29591.31,25
1786855516023,2,1,26366,32768,962.81,4636,29588.25,25
1786855521882,2,1,26329,32768,62.06,4608,29584.44,25
1786855528109,2,1,26315,32768,263.69,4609,29582.88,25
1786855534191,2,1,26330,32768,449.82,4610,29580.62,25
1786855540214,2,1,26336,32768,748.09,4610,29578.69,25
1786855546039,2,1,26335,32768,881.82,4637,29576.38,25
1786855551866,2,1,26344,32768,996.34,4637,29573.06,25
1786855557677,2,1,23843,32768,83.22,4606,29742.44,25
1786855575750,2,1,26404,32768,710.20,4624,29729.62,25
1786855583191,2,1,26155,32768,822.85,4587,29722.69,25
1786855591255,2,1,26126,32768,18.40,4580,29714.56,25
1786855599153,2,1,25983,32768,200.23,4572,29706.00,25
1786855607164,2,1,25908,32768,520.63,4590,29685.75,25
1786855615139,2,1,26268,32768,755.14,4556,29627.00,25
1786855623019,2,1,26511,32768,877.33,4579,29733.81,25
1786855631358,2,1,26058,32768,67.17,4569,29728.56,25
1786855638211,2,1,26044,32768,252.14,4562,29723.75,25
1786855646149,2,1,25963,32768,586.81,4527,29713.12,25
1786855653823,2,1,25886,32768,734.56,4525,29707.12,25
1786855661231,2,1,25854,32768,983.31,4524,29703.56,25
1786855667994,2,1,25822,32768,64.91,4524,29699.69,25
1786855674371,2,1,25794,32768,231.88,4541,29695.50,25
1786855681203,2,1,28945,32768,524.60,4524,29803.06,25
1786855688693,2,1,25900,32768,660.85,4526,29796.56,25
1786855695549,2,1,25913,32768,876.51,4547,29792.44,25
1786855703148,2,1,25890,32768,967.76,4526,29789.00,25
1786855709475,2,1,25904,32768,23.46,4528,29787.25,25
1786855716341,2,1,25882,32768,312.12,4528,29784.62,25
1786855723667,2,1,25880,32768,442.24,4522,29780.88,25
1786855730730,2,1,25859,32768,670.25,4523,29779.31,25
1786855737786,2,1,24980,32768,770.09,4523,29775.75,25
1786855744178,2,1,27462,32768,860.57,4528,29948.81,25
1786855751876,2,1,25791,32768,0.08,4528,29944.62,25
1786855758932,2,1,25796,32768,156.39,4528,29941.56,25
1786855765615,2,1,25790,32768,425.17,4528,29939.44,25
1786855772531,2,1,25809,32768,551.36,4528,29936.94,25
1786855779281,2,1,25837,32768,659.84,4536,29924.12,25
1786855785765,2,1,25846,32768,852.83,4532,29921.94,25
1786855792393,2,1,25849,32768,931.16,4532,29919.38,25
1786855798968,2,1,23229,32768,1007.78,4535,29917.25,25
1786855804958,2,1,27625,32768,201.75,4533,30092.44,25
1786855810836,2,1,25722,32768,332.30,4539,30079.44,25
1786855816755,2,1,25740,32768,458.00,4540,30075.69,25
1786855822658,2,1,25753,32768,564.98,4560,30071.50,25
1786855828602,2,1,25768,32768,669.40,4533,30058.94,25
1786855851337,2,1,25863,32768,273.96,4650,30007.12,25
1786855858631,2,1,25867,32768,454.38,4652,30003.44,25
1786855871988,2,1,26507,32768,615.59,4677,30277.81,25
1786855892384,2,1,22418,32768,772.81,4189,30222.88,23
1786855894938,2,2,22241,32768,789.48,4170,30208.31,23
1786855901023,2,2,23041,32768,820.27,4291,30195.88,25
1786855939912,2,2,25061,32768,723.79,4497,30078.50,25
1786855952196,2,2,25118,32768,1021.55,4522,30059.06,25
1786855958463,2,2,25111,32768,114.02,4515,30053.50,25
1786855964656,2,2,25196,32768,448.40,4523,30051.44,25
1786855970600,2,2,25178,32768,587.70,4523,30050.31,25
1786855976389,2,2,25145,32768,702.40,4524,30039.56,25
1786855982196,2,2,28369,32768,800.54,4526,30037.44,25
1786855988088,2,2,25676,32768,885.54,4543,30028.81,25
1786855994034,2,2,25676,32768,978.15,4513,29978.25,25
1786856000159,2,2,25635,32768,221.89,4506,29973.56,25
1786856005861,2,2,25610,32768,391.11,4527,29966.88,25
1786856011763,2,2,25567,32768,545.65,4521,29966.25,25
1786856017617,2,2,25546,32768,680.61,4515,29945.75,25
1786856023461,2,2,25498,32768,806.60,4502,29945.00,25
1786856029670,2,2,25463,32768,920.11,4498,29943.75,25
1786856035468,2,2,25455,32768,178.87,4497,29942.50,25
1786856041375,2,2,28616,32768,342.16,4495,30043.44,25
1786856049077,2,2,25596,32768,472.92,4463,30020.44,25
1786856054995,2,2,25589,32768,745.87,4460,30016.00,25
1786856061005,2,2,26304,32768,864.64,4452,30012.75,25
1786856067441,2,2,25502,32768,970.77,4450,30010.12,25
1786856073470,2,2,25486,32768,49.05,4451,30006.88,25
