ts_ms,level,repeat,mem_used_mb,mem_total_mb,load1,proc_count,swap_used_mb,booted
1786842592474,1,1,4157,32768,1.19,254,0.00,0
1786842598024,1,1,6038,32768,7.42,377,0.00,1
1786842605229,1,1,7146,32768,7.95,409,0.00,1
1786842610621,1,1,7405,32768,7.55,421,0.00,1
1786842616015,1,1,8363,32768,19.60,476,0.00,1
1786842623754,1,1,6445,32768,28.89,279,0.00,0
1786842625238,1,2,6130,32768,28.89,263,0.00,0
1786842630446,1,2,7753,32768,33.94,390,0.00,1
1786842635819,1,2,8022,32768,32.99,399,0.00,1
1786842641355,1,2,8529,32768,30.91,453,0.00,1
1786842648686,1,2,6310,32768,37.20,266,0.00,0
1786842649846,2,1,6084,32768,37.20,254,0.00,0
1786842655614,2,1,8472,32768,66.00,486,0.00,2
1786842666344,2,1,9468,32768,67.04,542,0.00,2
1786842671869,2,1,10031,32768,65.12,611,0.00,2
1786842680394,2,1,11490,32768,135.72,677,0.00,2
1786842691138,2,1,13605,32768,196.76,742,0.00,2
1786842700349,2,1,6941,32768,225.78,266,0.00,0
1786842703183,2,2,6669,32768,207.78,251,0.00,0
1786842709048,2,2,9298,32768,204.19,457,0.00,2
1786842720592,2,2,9970,32768,206.61,537,0.00,2
1786842726301,2,2,10411,32768,192.79,581,0.00,2
1786842733455,2,2,11347,32768,241.43,660,0.00,2
1786842743743,2,2,14027,32768,309.68,739,0.00,2
1786842755179,2,2,10796,32768,377.26,537,0.00,1
1786842759552,4,1,6700,32768,347.21,253,0.00,0
1786842765091,4,1,9191,32768,328.13,489,0.00,3
1786842778352,4,1,12437,32768,369.78,748,0.00,4
1786842789634,4,1,12422,32768,404.18,774,0.00,4
1786842795754,4,1,13224,32768,405.76,844,0.00,4
1786842806614,4,1,14666,32768,502.77,924,0.00,4
1786842815608,4,1,15197,32768,509.35,945,0.00,4
1786842821061,4,1,15472,32768,490.51,952,0.00,4
1786842826386,4,1,15999,32768,461.48,979,0.00,4
1786842834040,4,1,17601,32768,462.91,1051,0.00,4
1786842845201,4,1,17589,32768,526.88,1117,0.00,4
1786842851655,4,1,17585,32768,570.53,1130,0.00,4
1786842857679,4,1,17745,32768,597.43,1187,0.00,4
1786842868425,4,1,18288,32768,649.07,1208,0.00,4
1786842874609,4,1,18240,32768,649.22,1215,0.00,4
1786842880446,4,1,18236,32768,652.89,1234,0.00,4
1786842887073,4,1,18388,32768,649.89,1272,0.00,4
1786842894089,4,1,19212,32768,657.99,1298,0.00,4
1786842900515,4,1,18754,32768,661.11,1287,0.00,4
1786842906495,4,1,18221,32768,641.40,1251,0.00,4
1786842913882,4,1,19426,32768,614.07,1285,0.00,4
1786842919925,4,1,19299,32768,609.82,1323,0.00,4
1786842926234,4,1,19269,32768,613.52,1342,0.00,4
1786842935839,4,1,13810,32768,653.21,835,0.00,2
1786842941283,4,1,9728,32768,616.76,529,0.00,0
1786842944676,4,2,6918,32768,567.61,252,0.00,0
1786842950630,4,2,8654,32768,530.40,439,0.00,3
1786842967311,4,2,12059,32768,545.95,761,0.00,4
1786842975172,4,2,12333,32768,526.09,774,0.00,4
1786842985036,4,2,13728,32768,545.83,875,0.00,4
