level,repeat,device,runtime,profile,boots_ok,installs_ok,launches_ok,renders_ok,boot_wall_ms,mem_used_mb,mem_total_mb,load1,proc_count,swap_used_mb,infer_ops,failure_mode
1,1,com.apple.CoreSimulator.SimDeviceType.iPhone-17e,com.apple.CoreSimulator.SimRuntime.iOS-26-5,INFER,1,1,1,1,2794,10309,32768,39.25,548,0.00,44.76,
1,2,com.apple.CoreSimulator.SimDeviceType.iPhone-17e,com.apple.CoreSimulator.SimRuntime.iOS-26-5,INFER,1,1,1,1,841,10575,32768,66.86,531,0.00,46.47,
2,1,com.apple.CoreSimulator.SimDeviceType.iPhone-17e,com.apple.CoreSimulator.SimRuntime.iOS-26-5,INFER,2,2,2,2,10124,16865,32768,214.51,825,0.00,103.0,
2,2,com.apple.CoreSimulator.SimDeviceType.iPhone-17e,com.apple.CoreSimulator.SimRuntime.iOS-26-5,INFER,2,2,2,2,10939,15451,32768,329.18,809,0.00,92.41,
4,1,com.apple.CoreSimulator.SimDeviceType.iPhone-17e,com.apple.CoreSimulator.SimRuntime.iOS-26-5,INFER,4,4,4,4,25305,18739,32768,919.79,1265,0.00,231.48,
4,2,com.apple.CoreSimulator.SimDeviceType.iPhone-17e,com.apple.CoreSimulator.SimRuntime.iOS-26-5,INFER,4,4,4,4,25316,17971,32768,799.85,1331,0.00,197.1,
6,1,com.apple.CoreSimulator.SimDeviceType.iPhone-17e,com.apple.CoreSimulator.SimRuntime.iOS-26-5,INFER,6,6,6,6,54021,23129,32768,685.00,1811,0.00,329.95,
6,2,com.apple.CoreSimulator.SimDeviceType.iPhone-17e,com.apple.CoreSimulator.SimRuntime.iOS-26-5,INFER,6,6,6,6,47671,23859,32768,283.58,1909,0.00,332.1,
8,1,com.apple.CoreSimulator.SimDeviceType.iPhone-17e,com.apple.CoreSimulator.SimRuntime.iOS-26-5,INFER,8,8,8,8,90446,25777,32768,993.31,2415,2353.69,415.15,
8,2,com.apple.CoreSimulator.SimDeviceType.iPhone-17e,com.apple.CoreSimulator.SimRuntime.iOS-26-5,INFER,8,8,8,8,73220,25987,32768,373.29,2249,1211.62,372.91,
10,1,com.apple.CoreSimulator.SimDeviceType.iPhone-17e,com.apple.CoreSimulator.SimRuntime.iOS-26-5,INFER,10,10,10,10,119280,27566,32768,912.11,2868,4073.62,465.67,
10,2,com.apple.CoreSimulator.SimDeviceType.iPhone-17e,com.apple.CoreSimulator.SimRuntime.iOS-26-5,INFER,10,10,10,10,115410,27369,32768,395.38,2772,4191.06,446.47,
12,1,com.apple.CoreSimulator.SimDeviceType.iPhone-17e,com.apple.CoreSimulator.SimRuntime.iOS-26-5,INFER,12,12,12,12,155032,27670,32768,260.18,3164,9401.25,521.64,
12,2,com.apple.CoreSimulator.SimDeviceType.iPhone-17e,com.apple.CoreSimulator.SimRuntime.iOS-26-5,INFER,12,12,12,12,232754,27863,32768,654.66,3144,9830.12,526.11,
