ts_ms,level,repeat,mem_used_mb,mem_total_mb,load1,proc_count,swap_used_mb,booted
1786907669595,1,1,3613,32768,3.46,258,0.00,0
1786907675965,1,1,5529,32768,9.50,380,0.00,1
1786907683125,1,1,6649,32768,10.10,413,0.00,1
1786907688622,1,1,6873,32768,9.78,424,0.00,1
1786907694236,1,1,7637,32768,21.53,469,0.00,1
1786907701750,1,1,10158,32768,35.50,529,0.00,1
1786907708068,1,1,10149,32768,40.75,542,0.00,1
1786907713601,1,1,6016,32768,39.25,269,0.00,0
1786907714424,1,2,5771,32768,39.25,257,0.00,0
1786907719624,1,2,7762,32768,39.60,387,0.00,1
1786907724923,1,2,8083,32768,38.11,404,0.00,1
1786907730632,1,2,8453,32768,45.95,450,0.00,1
1786907738696,1,2,10560,32768,60.61,515,0.00,1
1786907745621,1,2,10579,32768,66.86,536,0.00,1
1786907753105,2,1,5786,32768,61.59,253,0.00,0
1786907759172,2,1,8771,32768,75.66,478,0.00,2
1786907768813,2,1,9824,32768,77.77,544,0.00,2
1786907774449,2,1,10263,32768,99.45,596,0.00,2
1786907782178,2,1,11559,32768,143.78,663,0.00,2
1786907792602,2,1,13112,32768,199.41,722,0.00,2
1786907799902,2,1,13325,32768,221.14,737,0.00,2
1786907805509,2,1,13538,32768,213.20,740,0.00,2
1786907811068,2,1,15110,32768,211.34,759,0.00,2
1786907816999,2,1,14358,32768,203.06,762,0.00,2
1786907823672,2,1,16040,32768,216.91,790,0.00,2
1786907830957,2,1,16829,32768,214.51,818,0.00,2
1786907838492,2,1,6630,32768,202.70,260,0.00,0
1786907840610,2,2,6462,32768,186.55,254,0.00,0
1786907846370,2,2,9518,32768,186.10,456,0.00,2
1786907857114,2,2,10403,32768,183.45,540,0.00,2
1786907863062,2,2,10798,32768,171.41,597,0.00,2
1786907870752,2,2,12109,32768,220.92,676,0.00,2
1786907880876,2,2,14646,32768,266.71,754,0.00,2
1786907892281,2,2,15073,32768,313.37,797,0.00,2
1786907899044,2,2,15384,32768,324.15,808,0.00,2
1786907904777,2,2,11300,32768,308.67,554,0.00,1
1786907912581,4,1,6442,32768,284.11,270,0.00,0
1786907918454,4,1,9316,32768,268.49,474,0.00,3
1786907933980,4,1,12885,32768,339.10,757,0.00,4
1786907943509,4,1,13447,32768,339.33,804,0.00,4
